T,rule,lam,bits,rounding,scale,seed,recalled,age50,fidelity,write_lsb,saturated_frac,unchanged_frac
512,hebbian,1.0,8,stochastic,static,2,466.69,512,0.4243,0.6676,0.0000,0.5247
512,hebbian,1.0,8,stochastic,dynamic,2,475.28,512,0.4388,1.5532,0.0001,0.3308
512,hebbian,1.0,4,nearest,static,2,12.31,0,0.0244,0.0368,0.0000,1.0000
512,hebbian,1.0,4,nearest,dynamic,2,58.47,0,0.0852,0.0458,0.0002,0.9891
512,hebbian,1.0,4,stochastic,static,2,66.31,0,0.1449,0.0368,0.0325,0.9638
512,hebbian,1.0,4,stochastic,dynamic,2,28.78,0,0.1019,0.0395,0.0002,0.9580
512,delta,0.9,32,,,2,23.34,18,0.0416,nan,0.0000,0.0000
512,delta,0.9,8,nearest,static,2,23.38,18,0.0416,3.5236,0.0000,0.1325
512,delta,0.9,8,nearest,dynamic,2,23.38,18,0.0416,7.1853,0.0001,0.0737
512,delta,0.9,8,stochastic,static,2,23.31,18,0.0415,3.5237,0.0000,0.1307
512,delta,0.9,8,stochastic,dynamic,2,23.41,18,0.0416,7.1848,0.0001,0.0724
512,delta,0.9,4,nearest,static,2,41.59,36,0.0664,0.1989,0.0000,0.8892
512,delta,0.9,4,nearest,dynamic,2,26.75,21,0.0465,0.3776,0.0002,0.7041
512,delta,0.9,4,stochastic,static,2,22.75,17,0.0336,0.1984,0.0000,0.7790
512,delta,0.9,4,stochastic,dynamic,2,23.09,18,0.0380,0.3663,0.0002,0.6332
512,delta,0.97,32,,,2,54.38,48,0.0949,nan,0.0000,0.0000
512,delta,0.97,8,nearest,static,2,54.44,49,0.0949,3.1613,0.0000,0.1827
512,delta,0.97,8,nearest,dynamic,2,54.34,48,0.0949,4.9856,0.0001,0.1163
512,delta,0.97,8,stochastic,static,2,54.59,49,0.0948,3.1618,0.0000,0.1760
512,delta,0.97,8,stochastic,dynamic,2,54.50,49,0.0948,4.9841,0.0001,0.1128
512,delta,0.97,4,nearest,static,2,88.41,78,0.1330,0.1876,0.0001,0.9085
512,delta,0.97,4,nearest,dynamic,2,76.69,68,0.1175,0.2290,0.0002,0.8610
512,delta,0.97,4,stochastic,static,2,49.41,44,0.0718,0.1879,0.0001,0.8065
512,delta,0.97,4,stochastic,dynamic,2,50.50,44,0.0732,0.2039,0.0002,0.7851
512,delta,0.99,32,,,2,96.69,90,0.1611,nan,0.0000,0.0000
512,delta,0.99,8,nearest,static,2,97.94,91,0.1628,2.4727,0.0000,0.2516
512,delta,0.99,8,nearest,dynamic,2,97.00,90,0.1610,3.7243,0.0001,0.1557
512,delta,0.99,8,stochastic,static,2,96.62,90,0.1604,2.4688,0.0000,0.2350
512,delta,0.99,8,stochastic,dynamic,2,96.62,90,0.1608,3.7209,0.0001,0.1501
512,delta,0.99,4,nearest,static,2,129.94,117,0.1778,0.1556,0.0004,0.9406
512,delta,0.99,4,nearest,dynamic,2,129.97,111,0.1717,0.1478,0.0002,0.9445
512,delta,0.99,4,stochastic,static,2,77.47,67,0.1039,0.1708,0.0027,0.8286
512,delta,0.99,4,stochastic,dynamic,2,39.53,29,0.0528,0.1234,0.0002,0.8701
512,delta,0.999,32,,,2,151.44,139,0.2360,nan,0.0000,0.0000
512,delta,0.999,8,nearest,static,2,151.62,139,0.2358,1.9202,0.0000,0.3082
512,delta,0.999,8,nearest,dynamic,2,151.72,138,0.2354,2.8819,0.0001,0.1996
512,delta,0.999,8,stochastic,static,2,150.19,137,0.2339,1.9220,0.0000,0.2881
512,delta,0.999,8,stochastic,dynamic,2,150.69,137,0.2346,2.8762,0.0001,0.1907
512,delta,0.999,4,nearest,static,2,133.78,110,0.1724,0.1138,0.0001,0.9744
512,delta,0.999,4,nearest,dynamic,2,58.97,0,0.1237,0.1123,0.0002,0.9708
512,delta,0.999,4,stochastic,static,2,78.38,67,0.1058,0.1793,0.0217,0.8250
512,delta,0.999,4,stochastic,dynamic,2,2.59,0,0.0024,0.1101,0.0002,0.8843
512,delta,1.0,32,,,2,159.34,142,0.2460,nan,0.0000,0.0000
512,delta,1.0,8,nearest,static,2,159.66,142,0.2447,1.7887,0.0000,0.3235
512,delta,1.0,8,nearest,dynamic,2,159.75,142,0.2451,2.7800,0.0001,0.2063
512,delta,1.0,8,stochastic,static,2,159.41,140,0.2432,1.7960,0.0000,0.3014
512,delta,1.0,8,stochastic,dynamic,2,159.59,142,0.2441,2.7756,0.0001,0.1967
512,delta,1.0,4,nearest,static,2,127.88,98,0.1629,0.0999,0.0000,0.9831
512,delta,1.0,4,nearest,dynamic,2,57.19,0,0.1166,0.1098,0.0001,0.9725
512,delta,1.0,4,stochastic,static,2,73.34,61,0.1007,0.1806,0.0269,0.8245
512,delta,1.0,4,stochastic,dynamic,2,2.16,0,0.0014,0.1096,0.0002,0.8850
