T,rule,lam,bits,rounding,scale,n_seeds,recalled_mean,recalled_std,age50_mean,age50_std,fidelity_mean,fidelity_std,write_lsb_mean,unchanged_frac_mean
512,delta,0.997,32,,,3,136.76,0.57,125.3,0.9,0.2158,0.0004,nan,0.0000
512,delta,0.997,bf16,,,3,136.78,0.67,125.3,0.9,0.2157,0.0004,nan,0.0384
512,delta,0.997,8,nearest,static,3,138.26,0.98,126.0,1.4,0.2169,0.0004,2.0484,0.2941
512,delta,0.997,8,nearest,dynamic,3,136.75,0.72,125.7,0.9,0.2154,0.0003,3.0977,0.1863
512,delta,0.997,8,stochastic,static,3,136.43,0.74,125.3,0.5,0.2142,0.0004,2.0445,0.2751
512,delta,0.997,8,stochastic,dynamic,3,136.55,0.77,125.3,1.2,0.2149,0.0004,3.0938,0.1780
512,delta,0.997,4,nearest,static,3,137.14,1.04,121.7,1.2,0.1784,0.0017,0.1270,0.9648
512,delta,0.997,4,nearest,dynamic,3,76.39,3.47,5.3,7.5,0.1433,0.0013,0.1185,0.9671
512,delta,0.997,4,stochastic,static,3,83.04,1.09,68.7,3.3,0.1101,0.0012,0.1743,0.8283
512,delta,0.997,4,stochastic,dynamic,3,3.06,0.07,0.0,0.0,0.0074,0.0016,0.1116,0.8828
512,delta,0.998,32,,,3,144.73,0.75,131.7,0.9,0.2259,0.0004,nan,0.0000
512,delta,0.998,bf16,,,3,144.86,0.82,131.7,0.9,0.2260,0.0004,nan,0.0439
512,delta,0.998,8,nearest,static,3,145.53,0.82,132.7,1.2,0.2263,0.0004,1.9650,0.3029
512,delta,0.998,8,nearest,dynamic,3,144.78,1.02,131.3,1.7,0.2254,0.0003,2.9941,0.1922
512,delta,0.998,8,stochastic,static,3,144.15,1.00,132.3,1.2,0.2239,0.0004,1.9633,0.2833
512,delta,0.998,8,stochastic,dynamic,3,144.50,0.89,131.7,0.9,0.2248,0.0004,2.9907,0.1838
512,delta,0.998,4,nearest,static,3,136.65,1.21,114.7,5.2,0.1755,0.0008,0.1196,0.9703
512,delta,0.998,4,nearest,dynamic,3,67.58,1.38,0.0,0.0,0.1366,0.0015,0.1161,0.9687
512,delta,0.998,4,stochastic,static,3,81.04,1.39,67.0,1.6,0.1085,0.0016,0.1758,0.8275
512,delta,0.998,4,stochastic,dynamic,3,2.28,0.17,0.0,0.0,0.0052,0.0008,0.1110,0.8834
512,delta,0.999,32,,,3,152.80,0.97,138.0,2.2,0.2362,0.0003,nan,0.0000
512,delta,0.999,bf16,,,3,152.82,0.94,138.0,2.2,0.2362,0.0003,nan,0.0477
512,delta,0.999,8,nearest,static,3,153.10,1.11,138.3,2.5,0.2358,0.0003,1.8633,0.3143
