rule,lam,bits,rounding,scale,recalled,age50,saturated_frac,unchanged_frac
delta,0.9,4,stochastic,dynamic,23.12,17,0.0002,0.6330
delta,0.97,32,,,54.31,48,0.0000,0.0000
delta,0.97,8,nearest,static,54.06,48,0.0000,0.2009
delta,0.97,8,nearest,dynamic,54.12,48,0.0001,0.1161
delta,0.97,8,stochastic,static,54.09,48,0.0000,0.1925
delta,0.97,8,stochastic,dynamic,54.31,48,0.0001,0.1128
delta,0.97,4,nearest,static,95.31,87,0.0000,0.9255
delta,0.97,4,nearest,dynamic,77.47,71,0.0002,0.8614
delta,0.97,4,stochastic,static,49.59,43,0.0000,0.8223
delta,0.97,4,stochastic,dynamic,50.72,44,0.0002,0.7851
delta,0.99,32,,,98.25,92,0.0000,0.0000
delta,0.99,8,nearest,static,100.16,93,0.0000,0.2571
delta,0.99,8,nearest,dynamic,98.56,91,0.0001,0.1555
delta,0.99,8,stochastic,static,97.78,90,0.0000,0.2400
delta,0.99,8,stochastic,dynamic,97.75,90,0.0001,0.1495
delta,0.99,4,nearest,static,130.34,115,0.0003,0.9444
delta,0.99,4,nearest,dynamic,130.50,109,0.0002,0.9449
delta,0.99,4,stochastic,static,76.19,65,0.0024,0.8318
delta,0.99,4,stochastic,dynamic,39.94,31,0.0002,0.8702
delta,0.999,32,,,153.44,135,0.0000,0.0000
delta,0.999,8,nearest,static,153.38,135,0.0000,0.3178
delta,0.999,8,nearest,dynamic,153.44,134,0.0001,0.1991
delta,0.999,8,stochastic,static,152.56,136,0.0000,0.2969
delta,0.999,8,stochastic,dynamic,153.44,135,0.0001,0.1898
delta,0.999,4,nearest,static,132.56,109,0.0001,0.9787
delta,0.999,4,nearest,dynamic,57.56,0,0.0001,0.9706
delta,0.999,4,stochastic,static,77.34,65,0.0211,0.8275
delta,0.999,4,stochastic,dynamic,2.44,0,0.0002,0.8844
delta,1.0,32,,,161.78,148,0.0000,0.0000
delta,1.0,8,nearest,static,162.19,147,0.0000,0.3279
delta,1.0,8,nearest,dynamic,161.62,146,0.0001,0.2065
delta,1.0,8,stochastic,static,160.31,146,0.0000,0.3054
delta,1.0,8,stochastic,dynamic,161.38,145,0.0001,0.1966
delta,1.0,4,nearest,static,123.66,103,0.0000,0.9846
delta,1.0,4,nearest,dynamic,56.78,0,0.0001,0.9726
delta,1.0,4,stochastic,static,73.31,58,0.0265,0.8257
